,date,age,type,quantity,weight,price_min,price_max,price_avg,price_unit,category
0,2013-01-08,2 3/4,HV,5,370,2580,2580,2580,954600,HEMBRA DE 1a
1,2013-01-08,XX,VE,76,472,2380,2740,2557,1210308,HEMBRA DE 1a
2,2013-01-08,XX,BH,1,404,1000,1000,1000,404000,HEMBRA DE 1a
3,2013-01-08,XX,TO,8,647,2680,2860,2765,1785980,MACHO DE 1a
4,2013-01-08,2,HV,1,268,1800,1800,1800,482400,HEMBRA DE 2a
5,2013-01-08,2 1/4,HV,1,298,2200,2200,2200,655600,HEMBRA DE 2a
6,2013-01-08,2 1/2,HV,10,345,2340,2400,2373,816368,HEMBRA DE 2a
7,2013-01-08,2 3/4,HV,1,364,2600,2600,2600,946400,HEMBRA DE 2a
8,2013-01-08,XX,VE,163,391,1950,2560,2279,903677,HEMBRA DE 2a
9,2013-01-08,2 1/2,MC,1,342,2550,2550,2550,872100,MACHO DE 2a
10,2013-01-08,2 3/4,MC,1,396,2640,2640,2640,1045440,MACHO DE 2a
11,2013-01-08,XX,TO,3,507,2740,2780,2760,1399293,MACHO DE 2a
0,2013-01-10,DEST,HL,18,127,2100,2100,2100,266467,HEMBRA DE 1a
1,2013-01-10,1 1/4,HL,17,155,2300,2300,2300,355553,HEMBRA DE 1a
2,2013-01-10,1 1/2,HL,25,208,2100,2250,2175,444492,HEMBRA DE 1a
3,2013-01-10,1 3/4,HL,17,229,2050,2150,2100,485518,HEMBRA DE 1a
4,2013-01-10,2,HV,18,278,2350,2350,2350,654083,HEMBRA DE 1a
5,2013-01-10,2,HL,18,267,2300,2300,2300,614611,HEMBRA DE 1a
6,2013-01-10,2 1/4,HV,12,283,2350,2350,2350,665050,HEMBRA DE 1a
7,2013-01-10,2 1/4,HL,5,282,2100,2100,2100,592200,HEMBRA DE 1a
8,2013-01-10,1 1/4,ML,45,165,2700,2850,2783,459371,MACHO DE 1a
9,2013-01-10,1 1/2,ML,177,202,2750,3200,3006,607059,MACHO DE 1a
10,2013-01-10,1 3/4,ML,72,241,2800,3000,2888,700174,MACHO DE 1a
11,2013-01-10,2,MC,148,263,2600,2950,2793,733855,MACHO DE 1a
12,2013-01-10,2 1/4,MC,84,296,2660,2900,2766,825719,MACHO DE 1a
13,2013-01-10,2 1/2,MC,62,342,2660,2880,2752,954953,MACHO DE 1a
14,2013-01-10,2 3/4,MC,47,381,2700,2800,2747,1049547,MACHO DE 1a
15,2013-01-10,DEST,HL,5,121,2250,2350,2300,277460,HEMBRA DE 2a
16,2013-01-10,1 1/4,HL,1,164,2000,2000,2000,328000,HEMBRA DE 2a
17,2013-01-10,1 1/2,HL,3,202,1700,1900,1800,371267,HEMBRA DE 2a
18,2013-01-10,2,HL,3,261,2250,2250,2250,588000,HEMBRA DE 2a
19,2013-01-10,XX,VE,29,394,2040,2220,2130,839640,HEMBRA DE 2a
20,2013-01-10,1,ML,11,146,2450,2800,2617,375500,MACHO DE 2a
21,2013-01-10,1 1/4,ML,80,164,2350,2600,2500,410825,MACHO DE 2a
22,2013-01-10,1 1/2,ML,148,200,1900,2700,2390,499548,MACHO DE 2a
23,2013-01-10,1 3/4,ML,126,239,2100,2700,2500,584567,MACHO DE 2a
24,2013-01-10,2,MC,35,276,2400,2600,2500,699943,MACHO DE 2a
25,2013-01-10,2 1/4,MC,88,300,2000,2700,2506,774230,MACHO DE 2a
26,2013-01-10,2 1/2,MC,2,332,2360,2360,2360,783520,MACHO DE 2a
27,2013-01-10,2 3/4,MC,17,389,2720,2720,2720,1058880,MACHO DE 2a
0,2013-01-15,2 1/4,HV,2,313,2200,2200,2200,688600,HEMBRA DE 1a
1,2013-01-15,2 1/2,HV,13,347,2380,2380,2380,826043,HEMBRA DE 1a
2,2013-01-15,2 3/4,HV,5,380,2380,2380,2380,903448,HEMBRA DE 1a
3,2013-01-15,3,HV,17,452,2580,2620,2595,1174259,HEMBRA DE 1a
4,2013-01-15,XX,VE,22,501,2380,2660,2525,1281695,HEMBRA DE 1a
5,2013-01-15,XX,TO,9,580,2400,2980,2660,1544969,HEMBRA DE 1a
6,2013-01-15,2 1/4,HV,6,315,2200,2200,2200,692267,HEMBRA DE 2a
7,2013-01-15,2 1/2,HV,16,339,2360,2360,2360,800630,HEMBRA DE 2a
8,2013-01-15,XX,VE,69,413,1100,2460,2107,906671,HEMBRA DE 2a
9,2013-01-15,2 3/4,MC,6,385,2700,2700,2700,1039500,MACHO DE 2a
10,2013-01-15,XX,TO,2,418,2800,2800,2800,1170400,MACHO DE 2a
0,2013-01-17,DEST,HL,6,127,2200,2200,2200,278667,HEMBRA DE 1a
1,2013-01-17,1,HL,20,140,2000,2200,2117,303275,HEMBRA DE 1a
2,2013-01-17,1 1/4,HL,51,167,2100,2300,2162,357829,HEMBRA DE 1a
3,2013-01-17,1 1/2,HL,122,203,2050,2350,2162,444841,HEMBRA DE 1a
4,2013-01-17,1 3/4,HL,37,235,1900,2300,2138,520800,HEMBRA DE 1a
5,2013-01-17,2,HV,43,259,2000,2400,2250,612235,HEMBRA DE 1a
6,2013-01-17,2 1/4,HV,31,300,2240,2350,2310,699353,HEMBRA DE 1a
7,2013-01-17,2 1/2,HV,16,323,2300,2400,2350,758562,HEMBRA DE 1a
8,2013-01-17,XX,VP,2,420,1950,1950,1950,819000,HEMBRA DE 1a
9,2013-01-17,XX,VE,2,505,2400,2400,2400,1212000,HEMBRA DE 1a
10,2013-01-17,DEST,ML,3,124,2650,2650,2650,328600,MACHO DE 1a
11,2013-01-17,1,ML,28,148,2700,2700,2700,398443,MACHO DE 1a
12,2013-01-17,1 1/4,ML,57,164,2100,2850,2692,458912,MACHO DE 1a
13,2013-01-17,1 1/2,ML,172,202,2800,3050,2883,587747,MACHO DE 1a
14,2013-01-17,1 3/4,ML,112,235,2850,2950,2892,682762,MACHO DE 1a
15,2013-01-17,2,MC,184,264,2700,2950,2811,739944,MACHO DE 1a
16,2013-01-17,2 1/4,MC,237,292,2720,2900,2814,820583,MACHO DE 1a
17,2013-01-17,2 1/2,MC,123,343,2740,2800,2789,956268,MACHO DE 1a
18,2013-01-17,2 3/4,MC,99,379,2700,2840,2777,1051230,MACHO DE 1a
19,2013-01-17,DEST,HL,5,110,1800,1800,1800,197280,HEMBRA DE 2a
20,2013-01-17,1 1/4,HL,3,161,2000,2150,2075,336633,HEMBRA DE 2a
21,2013-01-17,1 1/2,HL,10,185,1800,2150,1975,390670,HEMBRA DE 2a
22,2013-01-17,1 3/4,HL,2,225,1400,1750,1575,353850,HEMBRA DE 2a
23,2013-01-17,2 1/4,HV,4,294,1950,2150,2050,601925,HEMBRA DE 2a
24,2013-01-17,XX,VE,20,352,2180,2240,2210,784608,HEMBRA DE 2a
25,2013-01-17,DEST,ML,55,115,1600,2350,2012,246667,MACHO DE 2a
26,2013-01-17,1,ML,48,142,2000,2500,2267,334608,MACHO DE 2a
27,2013-01-17,1 1/4,ML,60,169,2300,2600,2471,423698,MACHO DE 2a
28,2013-01-17,1 1/2,ML,246,200,2100,2850,2512,501574,MACHO DE 2a
29,2013-01-17,1 3/4,ML,156,236,1800,2760,2472,618516,MACHO DE 2a
0,2013-01-17,2,MC,180,263,2400,2850,2561,682780,MACHO DE 2a
1,2013-01-17,2 1/4,MC,195,294,2200,2800,2616,781647,MACHO DE 2a
2,2013-01-17,2 1/2,MC,1,320,2300,2300,2300,736000,MACHO DE 2a
3,2013-01-17,3,MC,15,428,2720,2720,2720,1164885,MACHO DE 2a
4,2013-01-17,XX,TO,1,418,2500,2500,2500,1045000,MACHO DE 2a
0,2013-01-22,2 1/2,HV,3,346,2300,2300,2300,795800,HEMBRA DE 1a
1,2013-01-22,XX,VE,45,508,2300,2540,2455,1244490,HEMBRA DE 1a
2,2013-01-22,2 1/4,HV,2,311,2200,2200,2200,684200,HEMBRA DE 2a
3,2013-01-22,2 3/4,HV,3,375,2380,2380,2380,891707,HEMBRA DE 2a
4,2013-01-22,XX,VE,77,414,2000,2300,2182,894846,HEMBRA DE 2a
5,2013-01-22,2 1/4,MC,1,296,1500,1500,1500,444000,MACHO DE 2a
6,2013-01-22,2 1/2,MC,7,342,2460,2460,2460,840617,MACHO DE 2a
7,2013-01-22,XX,TO,12,501,2000,2720,2547,1311943,MACHO DE 2a
0,2013-01-24,1,HL,15,133,2250,2450,2350,317580,HEMBRA DE 1a
1,2013-01-24,1 1/4,HL,76,173,2100,2350,2150,378147,HEMBRA DE 1a
2,2013-01-24,1 1/2,HL,53,188,1800,2450,2200,432204,HEMBRA DE 1a
3,2013-01-24,2,HV,89,264,2200,2760,2368,620016,HEMBRA DE 1a
4,2013-01-24,2 1/4,HV,12,299,2300,2360,2320,693217,HEMBRA DE 1a
5,2013-01-24,2 1/2,HV,17,321,2350,2350,2350,753659,HEMBRA DE 1a
6,2013-01-24,XX,VP,9,595,2350,2350,2350,1398511,HEMBRA DE 1a
7,2013-01-24,XX,VE,26,473,2360,2380,2370,1120389,HEMBRA DE 1a
8,2013-01-24,1,ML,30,139,2900,2900,2900,403100,MACHO DE 1a
9,2013-01-24,1 1/4,ML,36,170,2700,2800,2750,463006,MACHO DE 1a
10,2013-01-24,1 1/2,ML,116,209,2950,3000,2960,617400,MACHO DE 1a
11,2013-01-24,1 3/4,ML,35,234,2950,3000,2975,696397,MACHO DE 1a
12,2013-01-24,2,MC,130,265,2640,2950,2790,746988,MACHO DE 1a
13,2013-01-24,2 1/4,MC,94,301,2660,2950,2754,829150,MACHO DE 1a
14,2013-01-24,2 1/2,MC,18,325,2740,2740,2740,889587,MACHO DE 1a
15,2013-01-24,2 3/4,MC,20,371,2660,2800,2730,1034502,MACHO DE 1a
16,2013-01-24,1,HL,10,138,2300,2300,2300,316940,HEMBRA DE 2a
17,2013-01-24,1 1/4,HL,1,168,1700,1700,1700,285600,HEMBRA DE 2a
18,2013-01-24,2,HV,1,262,2000,2000,2000,524000,HEMBRA DE 2a
19,2013-01-24,2 1/4,HV,8,301,1900,2220,2107,653765,HEMBRA DE 2a
20,2013-01-24,XX,VE,16,361,1920,2120,1998,726789,HEMBRA DE 2a
21,2013-01-24,1,ML,33,142,2400,2650,2550,365758,MACHO DE 2a
22,2013-01-24,1 1/4,ML,95,163,1800,2700,2350,388636,MACHO DE 2a
23,2013-01-24,1 1/2,ML,129,202,2300,2750,2531,510423,MACHO DE 2a
24,2013-01-24,1 3/4,ML,106,233,2450,2800,2621,610314,MACHO DE 2a
25,2013-01-24,2,MC,142,266,2300,2700,2538,678356,MACHO DE 2a
26,2013-01-24,2 1/4,MC,143,293,2300,2760,2607,782069,MACHO DE 2a
27,2013-01-24,2 1/2,MC,58,333,1700,2780,2505,903060,MACHO DE 2a
28,2013-01-24,2 3/4,MC,20,386,2600,2640,2620,1013188,MACHO DE 2a
0,2013-01-24,XX,TO,26,414,2740,2780,2760,1141852,MACHO DE 2a
0,2013-01-29,2 3/4,HV,15,375,2460,2500,2480,926181,HEMBRA DE 1a
1,2013-01-29,3,HV,4,400,2420,2420,2420,966790,HEMBRA DE 1a
2,2013-01-29,XX,VE,41,423,2300,2560,2387,1002224,HEMBRA DE 1a
3,2013-01-29,3,MC,41,443,2600,2760,2668,1180466,HEMBRA DE 1a
4,2013-01-29,XX,TO,16,481,2340,2760,2556,1241730,HEMBRA DE 1a
5,2013-01-29,XX,BH,7,557,1800,1800,1800,1001829,HEMBRA DE 2a
6,2013-01-29,XX,VE,39,399,1650,2460,2139,893400,HEMBRA DE 2a
7,2013-01-29,3,MC,6,407,2600,2600,2600,1058200,MACHO DE 2a
0,2013-01-31,DEST,HL,1,92,2300,2300,2300,211600,HEMBRA DE 1a
1,2013-01-31,1 1/4,HL,23,156,2100,2450,2275,342970,HEMBRA DE 1a
2,2013-01-31,1 1/2,HL,28,205,2100,2300,2200,467386,HEMBRA DE 1a
3,2013-01-31,2,HV,21,268,2250,2400,2325,620205,HEMBRA DE 1a
4,2013-01-31,XX,VP,17,540,2200,2250,2225,1202535,HEMBRA DE 1a
5,2013-01-31,XX,VE,1,448,2180,2180,2180,976640,HEMBRA DE 1a
6,2013-01-31,1,ML,15,145,2650,2650,2650,385133,MACHO DE 1a
7,2013-01-31,1 1/4,ML,11,171,2950,2950,2950,503645,MACHO DE 1a
8,2013-01-31,1 1/2,ML,86,197,2700,2950,2833,560071,MACHO DE 1a
9,2013-01-31,1 3/4,ML,77,239,2600,2900,2775,668205,MACHO DE 1a
10,2013-01-31,2,MC,203,265,2700,2900,2831,753913,MACHO DE 1a
11,2013-01-31,2 1/4,MC,97,291,2750,2950,2856,833961,MACHO DE 1a
12,2013-01-31,2 1/2,MC,15,341,2850,2850,2850,972420,MACHO DE 1a
13,2013-01-31,2 3/4,MC,34,370,2600,2620,2607,964588,MACHO DE 1a
14,2013-01-31,BEST,HL,1,72,1600,1600,1600,115200,MACHO DE 1a
15,2013-01-31,XX,VP,12,441,1900,1900,1900,837583,MACHO DE 1a
16,2013-01-31,1,ML,10,133,2600,2600,2600,345800,MACHO DE 1a
17,2013-01-31,1 1/4,ML,82,163,1700,2800,2550,409951,MACHO DE 1a
18,2013-01-31,1 1/2,ML,22,207,2350,2600,2483,528864,MACHO DE 1a
19,2013-01-31,1 3/4,ML,78,237,2500,2650,2600,620237,MACHO DE 1a
20,2013-01-31,2,MC,45,268,1700,2750,2390,680446,MACHO DE 1a
21,2013-01-31,2 1/4,MC,53,294,2350,2800,2532,780791,MACHO DE 1a
22,2013-01-31,2 1/2,MC,35,334,2500,2740,2590,880597,MACHO DE 1a
0,2013-02-05,2 1/2,HV,20,328,2360,2420,2393,784494,HEMBRA DE 1a
1,2013-02-05,XX,VE,14,425,2380,2380,2380,1012180,HEMBRA DE 1a
2,2013-02-05,XX,TO,2,642,2600,2700,2650,1700600,MACHO DE 1a
3,2013-02-05,XX,BH,11,552,1700,1900,1833,1041327,HEMBRA DE 2a
4,2013-02-05,XX,VE,67,404,1960,2520,2199,900690,HEMBRA DE 2a
0,2013-02-12,2 1/4,HV,24,293,1900,2160,2025,591448,HEMBRA DE 1a
1,2013-02-12,2 1/2,HV,1,352,2600,2600,2600,915200,HEMBRA DE 1a
2,2013-02-12,3,HV,1,430,2500,2500,2500,1075000,HEMBRA DE 1a
3,2013-02-12,XX,VE,64,452,2160,2700,2411,1075505,HEMBRA DE 1a
4,2013-02-12,3,MC,1,568,2740,2740,2740,1556320,MACHO DE 1a
5,2013-02-12,XX,TO,12,498,2480,2760,2632,1338970,MACHO DE 1a
6,2013-02-12,2 1/4,HV,7,287,2000,2000,2000,574286,HEMBRA DE 2a
7,2013-02-12,XX,VE,62,399,1900,2380,2128,863687,HEMBRA DE 2a
8,2013-02-12,2 1/2,MC,4,345,2440,2620,2527,863330,MACHO DE 2a
9,2013-02-12,2 3/4,MC,1,376,2580,2580,2580,970080,MACHO DE 2a
10,2013-02-12,3,MC,8,444,2760,2760,2760,1226820,MACHO DE 2a
11,2013-02-12,XX,TO,8,622,2200,2420,2264,1386915,MACHO DE 2a
0,2013-02-14,1 1/4,HL,21,172,2250,2400,2317,396205,HEMBRA DE 1a
1,2013-02-14,1 1/2,HL,55,203,2200,2650,2350,479144,HEMBRA DE 1a
2,2013-02-14,2 1/4,HV,8,289,2300,2300,2300,664700,HEMBRA DE 1a
3,2013-02-14,1,ML,17,143,2750,2800,2775,398259,MACHO DE 1a
4,2013-02-14,1 1/4,ML,68,168,2800,3100,2880,483812,MACHO DE 1a
5,2013-02-14,1 1/2,ML,81,195,2700,2900,2812,547949,MACHO DE 1a
6,2013-02-14,1 3/4,ML,92,234,2750,2900,2820,664077,MACHO DE 1a
7,2013-02-14,2,MC,138,266,2750,2900,2825,753073,MACHO DE 1a
8,2013-02-14,2 1/4,MC,156,293,2650,2800,2729,802916,MACHO DE 1a
9,2013-02-14,2 1/2,MC,52,337,2660,2880,2747,925935,MACHO DE 1a
10,2013-02-14,XX,TO,1,900,2540,2540,2540,2286000,MACHO DE 1a
11,2013-02-14,DEST,HL,16,108,1800,2350,2067,245612,HEMBRA DE 2a
12,2013-02-14,1,HL,14,131,2300,2350,2325,305143,HEMBRA DE 2a
13,2013-02-14,1 1/4,HL,5,157,2200,2200,2200,345840,HEMBRA DE 2a
14,2013-02-14,1 1/2,HL,10,205,2000,2150,2075,428610,HEMBRA DE 2a
15,2013-02-14,1 3/4,HL,29,223,2050,2350,2200,514017,HEMBRA DE 2a
16,2013-02-14,2,HL,1,258,2000,2000,2000,516000,HEMBRA DE 2a
17,2013-02-14,2,HV,5,268,2050,2050,2050,548580,HEMBRA DE 2a
18,2013-02-14,XX,VE,15,452,1400,2200,1800,935253,HEMBRA DE 2a
19,2013-02-14,DEST,ML,22,122,2300,2650,2512,313073,MACHO DE 2a
20,2013-02-14,1,ML,21,140,2250,2750,2525,355600,MACHO DE 2a
21,2013-02-14,1 1/4,ML,59,163,2100,2700,2533,429327,MACHO DE 2a
22,2013-02-14,1 1/2,ML,137,198,2200,2850,2596,530063,MACHO DE 2a
23,2013-02-14,1 3/4,ML,38,243,2700,2750,2733,663963,MACHO DE 2a
24,2013-02-14,2,MC,156,270,2200,2780,2555,690616,MACHO DE 2a
25,2013-02-14,2 1/4,MC,59,295,2400,2700,2525,737451,MACHO DE 2a
26,2013-02-14,2 1/2,MC,18,342,2460,2660,2587,900433,MACHO DE 2a
0,2013-02-19,1 1/2,HL,1,204,1900,1900,1900,387600,HEMBRA DE 1a
1,2013-02-19,XX,VE,52,465,2100,2500,2318,1090645,HEMBRA DE 1a
2,2013-02-19,XX,TO,37,471,2400,2740,2577,1197514,MACHO DE 1a
3,2013-02-19,2 1/2,HV,4,324,1900,1900,1900,616550,HEMBRA DE 2a
4,2013-02-19,XX,VE,70,383,1700,2200,1932,744775,HEMBRA DE 2a
5,2013-02-19,2 3/4,MC,2,366,2400,2400,2400,878400,MACHO DE 2a
6,2013-02-19,XX,TO,1,776,2200,2200,2200,1707200,MACHO DE 2a
0,2013-02-21,1 1/2,HL,25,183,2400,2400,2400,439680,HEMBRA DE 1a
1,2013-02-21,2 1/4,HV,10,308,2650,2650,2650,817260,HEMBRA DE 1a
2,2013-02-21,DEST,ML,34,119,3150,3150,3150,375035,MACHO DE 1a
3,2013-02-21,1,ML,24,145,2950,2950,2950,428979,MACHO DE 1a
4,2013-02-21,1 1/4,ML,36,173,2850,2950,2912,505553,MACHO DE 1a
5,2013-02-21,1 1/2,ML,17,192,2900,2950,2925,562965,MACHO DE 1a
6,2013-02-21,2 1/4,MC,38,300,2850,2880,2863,858557,MACHO DE 1a
7,2013-02-21,2 1/2,MC,38,335,2800,2880,2840,951162,MACHO DE 1a
8,2013-02-21,1,HL,3,140,2100,2100,2100,294000,HEMBRA DE 2a
9,2013-02-21,1 1/4,HL,4,156,2100,2100,2100,328650,HEMBRA DE 2a
10,2013-02-21,DEST,ML,51,107,2300,2600,2433,259918,MACHO DE 2a
11,2013-02-21,1 1/4,ML,24,167,2550,2850,2700,453817,MACHO DE 2a
12,2013-02-21,1 1/2,ML,62,205,2500,2950,2780,578447,MACHO DE 2a
13,2013-02-21,1 3/4,ML,31,244,2200,2850,2640,675319,MACHO DE 2a
14,2013-02-21,2,MC,123,264,2300,2850,2639,713737,MACHO DE 2a
15,2013-02-21,2 1/4,MC,67,301,2450,2800,2637,811771,MACHO DE 2a
0,2013-02-26,XX,VE,44,425,2260,2400,2296,978248,HEMBRA DE 1a
1,2013-02-26,1 3/4,HL,4,248,2000,2000,2000,496000,HEMBRA DE 2a
2,2013-02-26,XX,VE,73,375,1900,2500,2124,776979,HEMBRA DE 2a
3,2013-02-26,XX,TO,1,698,2200,2200,2200,1535600,MACHO DE 2a
4,2013-02-26,XX,BM,1,664,2100,2100,2100,1394400,MACHO DE 2a
0,2013-02-28,DEST,HL,4,116,2100,2100,2100,242550,HEMBRA DE 1a
1,2013-02-28,1,HL,13,143,2200,2200,2200,315108,HEMBRA DE 1a
2,2013-02-28,1 1/4,HL,2,167,2200,2200,2200,367400,HEMBRA DE 1a
3,2013-02-28,1 1/2,HL,15,211,2150,2400,2275,463720,HEMBRA DE 1a
4,2013-02-28,1 3/4,HL,34,230,2250,2250,2250,516574,HEMBRA DE 1a
5,2013-02-28,2,HV,3,267,2300,2300,2300,614867,HEMBRA DE 1a
6,2013-02-28,XX,VP,22,522,2500,2550,2525,1317473,HEMBRA DE 1a
7,2013-02-28,DEST,ML,16,126,2750,2850,2800,351975,MACHO DE 1a
8,2013-02-28,1 1/4,ML,4,162,2950,2950,2950,479375,MACHO DE 1a
9,2013-02-28,1 1/2,ML,127,197,2800,3350,3050,602725,MACHO DE 1a
10,2013-02-28,1 3/4,ML,41,232,2800,2950,2875,664988,MACHO DE 1a
11,2013-02-28,2,MC,99,259,2900,3000,2950,764207,MACHO DE 1a
12,2013-02-28,2 1/4,MC,61,305,2750,3020,2857,870425,MACHO DE 1a
13,2013-02-28,2 1/2,MC,39,347,2840,2860,2850,988894,MACHO DE 1a
14,2013-02-28,2 3/4,MC,10,363,2800,2800,2800,1015280,MACHO DE 1a
15,2013-02-28,DEST,HL,19,101,2050,2200,2125,215942,HEMBRA DE 2a
16,2013-02-28,1,HL,1,134,2150,2150,2150,288100,HEMBRA DE 2a
17,2013-02-28,XX,VE,9,434,2200,2200,2200,955044,HEMBRA DE 2a
18,2013-02-28,XX,VP,20,441,2050,2200,2125,939665,HEMBRA DE 2a
19,2013-02-28,DEST,ML,3,98,2300,2300,2300,225400,MACHO DE 2a
20,2013-02-28,1,ML,4,138,2300,2800,2575,352750,MACHO DE 2a
21,2013-02-28,1 1/4,ML,60,168,2400,2800,2658,430497,MACHO DE 2a
22,2013-02-28,1 1/2,ML,62,193,2300,2850,2535,496935,MACHO DE 2a
23,2013-02-28,1 3/4,ML,60,230,2400,2950,2731,639535,MACHO DE 2a
24,2013-02-28,2,MC,49,259,2300,3000,2680,711282,MACHO DE 2a
25,2013-02-28,2 1/4,MC,13,306,2600,2900,2750,812938,MACHO DE 2a
26,2013-02-28,2 3/4,MC,33,371,2720,2820,2785,1030566,MACHO DE 2a
0,2013-03-05,2 1/4,HV,4,289,2100,2100,2100,606900,HEMBRA DE 1a
1,2013-03-05,2 1/2,HV,8,358,2600,2600,2600,932100,HEMBRA DE 1a
2,2013-03-05,3,HV,3,426,2440,2600,2500,1066667,HEMBRA DE 1a
3,2013-03-05,XX,VE,30,452,2440,2720,2529,1137011,HEMBRA DE 1a
4,2013-03-05,XX,TO,4,704,2720,2840,2765,1944190,MACHO DE 1a
5,2013-03-05,2 1/4,HV,1,298,1900,1900,1900,566200,HEMBRA DE 2a
6,2013-03-05,2 3/4,HV,4,370,2280,2280,2280,842460,HEMBRA DE 2a
7,2013-03-05,XX,VE,10,372,1700,2480,2132,800740,HEMBRA DE 2a
0,2013-03-07,DEST,HL,1,114,2200,2200,2200,250800,HEMBRA DE 1a
1,2013-03-07,1 1/4,HL,21,160,2050,2250,2133,343781,HEMBRA DE 1a
2,2013-03-07,1 1/2,HL,48,187,2100,2400,2270,437431,HEMBRA DE 1a
3,2013-03-07,1 3/4,HL,7,235,2200,2250,2225,524629,HEMBRA DE 1a
4,2013-03-07,2,HV,1,252,2250,2250,2250,567000,HEMBRA DE 1a
5,2013-03-07,2 1/2,HV,12,340,2600,2600,2600,884000,HEMBRA DE 1a
6,2013-03-07,XX,VE,12,442,2050,2050,2050,905758,HEMBRA DE 1a
7,2013-03-07,DEST,ML,12,65,2050,2050,2050,133250,HEMBRA DE 1a
8,2013-03-07,1 1/4,ML,22,163,2900,3000,2938,478245,HEMBRA DE 1a
9,2013-03-07,1 1/2,ML,71,191,2950,3100,3033,581100,HEMBRA DE 1a
10,2013-03-07,1 3/4,ML,126,235,2750,3060,2964,705496,HEMBRA DE 1a
11,2013-03-07,2,MC,22,252,2900,2900,2900,730800,HEMBRA DE 1a
12,2013-03-07,2 1/4,MC,89,306,2500,3020,2873,903112,HEMBRA DE 1a
13,2013-03-07,2 1/2,MC,19,331,2800,2800,2800,925768,HEMBRA DE 1a
14,2013-03-07,2 3/4,MC,24,393,2820,3000,2910,1133610,HEMBRA DE 1a
15,2013-03-07,DEST,HL,17,105,1600,2050,1890,194447,HEMBRA DE 2a
16,2013-03-07,1,HL,7,138,1500,1900,1700,253971,HEMBRA DE 2a
17,2013-03-07,1 1/2,HL,1,184,1700,1700,1700,312800,HEMBRA DE 2a
18,2013-03-07,2 1/2,HV,2,348,2200,2200,2200,765600,HEMBRA DE 2a
19,2013-03-07,XX,VE,1,264,2150,2150,2150,567600,HEMBRA DE 2a
20,2013-03-07,DEST,ML,40,101,1900,2400,2200,230895,MACHO DE 2a
21,2013-03-07,1,ML,25,140,1700,2550,2312,351880,MACHO DE 2a
22,2013-03-07,1 1/4,ML,45,172,2250,2850,2575,445518,MACHO DE 2a
23,2013-03-07,1 1/2,ML,43,209,2400,3050,2661,592456,MACHO DE 2a
24,2013-03-07,1 3/4,ML,80,232,2600,3000,2807,666242,MACHO DE 2a
25,2013-03-07,2,MC,37,267,2150,2850,2550,722397,MACHO DE 2a
26,2013-03-07,2 1/4,MC,81,297,1950,2900,2544,821573,MACHO DE 2a
27,2013-03-07,2 1/2,MC,22,332,2600,2660,2620,863616,MACHO DE 2a
28,2013-03-07,2 3/4,MC,9,395,2780,2860,2820,1126182,MACHO DE 2a
29,2013-03-07,3,MC,7,412,2700,2700,2700,1112400,MACHO DE 2a
0,2013-03-12,XX,TO,1,502,2740,2740,2740,1375480,MACHO DE 1a
1,2013-03-12,21/4,HV,3,319,2140,2140,2140,683373,HEMBRA DE 2a
2,2013-03-12,2 1/2,HV,6,351,2660,2660,2660,934547,HEMBRA DE 2a
3,2013-03-12,XX,VE,36,389,1960,2500,2222,908164,HEMBRA DE 2a
4,2013-03-12,XX,TO,1,672,1940,1940,1940,1303680,MACHO DE 2a
0,2013-03-14,1 1/4,HL,49,162,2300,2400,2350,383751,HEMBRA DE 1a
1,2013-03-14,1 1/2,HL,88,198,2350,2450,2410,477524,HEMBRA DE 1a
2,2013-03-14,1 3/4,HL,8,234,2300,2550,2417,562650,HEMBRA DE 1a
3,2013-03-14,2,HV,4,267,2550,2550,2550,680850,HEMBRA DE 1a
4,2013-03-14,2 1/4,HV,1,284,2400,2400,2400,681600,HEMBRA DE 1a
5,2013-03-14,XX,VE,9,498,2580,2700,2660,1332653,HEMBRA DE 1a
6,2013-03-14,DEST,ML,6,129,3000,3000,3000,388000,MACHO DE 1a
7,2013-03-14,1 1/4,ML,15,159,3100,3150,3125,497853,MACHO DE 1a
8,2013-03-14,1 1/2,ML,162,199,3100,3300,3200,641623,MACHO DE 1a
9,2013-03-14,1 3/4,ML,29,227,3000,3250,3125,728224,MACHO DE 1a
10,2013-03-14,2,MC,42,268,3100,3200,3167,844090,MACHO DE 1a
11,2013-03-14,2 1/4,MC,95,299,2900,3200,3025,906314,MACHO DE 1a
12,2013-03-14,21/2,MC,19,349,3150,3150,3150,1099184,MACHO DE 1a
13,2013-03-14,2 3/4,MC,20,369,2940,2960,2950,1088061,MACHO DE 1a
14,2013-03-14,XX,TO,10,443,3040,3040,3040,1347328,MACHO DE 1a
15,2013-03-14,DEST,HL,1,74,1600,1600,1600,118400,HEMBRA DE 2a
16,2013-03-14,1 1/4,HL,3,172,2300,2300,2300,395600,HEMBRA DE 2a
17,2013-03-14,1 1/2,HL,1,206,2100,2100,2100,432600,HEMBRA DE 2a
18,2013-03-14,XX,VE,3,433,2300,2300,2300,996667,HEMBRA DE 2a
19,2013-03-14,DEST,ML,1,78,2700,2700,2700,210600,MACHO DE 2a
20,2013-03-14,1,ML,5,138,2850,2850,2850,393300,MACHO DE 2a
21,2013-03-14,1 1/4,ML,101,165,1700,3100,2667,471104,MACHO DE 2a
